Country,Year,GDPWorld
Burundi,1/01/1997 0:00,0.007
Burundi,1/01/1998 0:00,0.007
Burundi,1/01/1999 0:00,0.006
Burundi,1/01/2000 0:00,0.006
Burundi,1/01/2001 0:00,0.006
Burundi,1/01/2002 0:00,0.006
Burundi,1/01/2003 0:00,0.006
Burundi,1/01/2004 0:00,0.006
Burundi,1/01/2005 0:00,0.006
Burundi,1/01/2006 0:00,0.006
Burundi,1/01/2007 0:00,0.006
Burundi,1/01/2008 0:00,0.006
Burundi,1/01/2009 0:00,0.006
Burundi,1/01/2010 0:00,0.006
Cambodia,1/01/1990 0:00,0.02
Cambodia,1/01/1991 0:00,0.021
Cambodia,1/01/1992 0:00,0.021
Cambodia,1/01/1993 0:00,0.021
Cambodia,1/01/1994 0:00,0.022
Cambodia,1/01/1995 0:00,0.023
Cambodia,1/01/1996 0:00,0.023
Cambodia,1/01/1997 0:00,0.023
Cambodia,1/01/1998 0:00,0.024
Cambodia,1/01/1999 0:00,0.026
Cambodia,1/01/2000 0:00,0.027
Cambodia,1/01/2001 0:00,0.028
Cambodia,1/01/2002 0:00,0.03
Cambodia,1/01/2003 0:00,0.031
Cambodia,1/01/2004 0:00,0.032
Cambodia,1/01/2005 0:00,0.035
Cambodia,1/01/2006 0:00,0.037
Cambodia,1/01/2007 0:00,0.039
Cambodia,1/01/2008 0:00,0.04
Cambodia,1/01/2009 0:00,0.04
Cambodia,1/01/2010 0:00,0.041
Cambodia,1/01/2011 0:00,0.042
Cameroon,1/01/1990 0:00,0.079
Cameroon,1/01/1991 0:00,0.075
Cameroon,1/01/1992 0:00,0.066
Cameroon,1/01/1993 0:00,0.062
Cameroon,1/01/1994 0:00,0.059
Cameroon,1/01/1995 0:00,0.059
Cameroon,1/01/1996 0:00,0.06
Cameroon,1/01/1997 0:00,0.06
Cameroon,1/01/1998 0:00,0.062
Cameroon,1/01/1999 0:00,0.062
Cameroon,1/01/2000 0:00,0.062
Cameroon,1/01/2001 0:00,0.063
Cameroon,1/01/2002 0:00,0.064
Cameroon,1/01/2003 0:00,0.064
Cameroon,1/01/2004 0:00,0.063
Cameroon,1/01/2005 0:00,0.06
Cameroon,1/01/2006 0:00,0.059
Cameroon,1/01/2007 0:00,0.058
Cameroon,1/01/2008 0:00,0.059
Cameroon,1/01/2009 0:00,0.06
Cameroon,1/01/2010 0:00,0.059
Canada,1/01/1990 0:00,2.363
Canada,1/01/1991 0:00,2.268
Canada,1/01/1992 0:00,2.083
Canada,1/01/1993 0:00,2.089
Canada,1/01/1994 0:00,2.122
Canada,1/01/1995 0:00,2.102
Canada,1/01/1996 0:00,2.061
Canada,1/01/1997 0:00,2.063
Canada,1/01/1998 0:00,2.094
Canada,1/01/1999 0:00,2.123
Canada,1/01/2000 0:00,2.132
Canada,1/01/2001 0:00,2.12
Canada,1/01/2002 0:00,2.121
Canada,1/01/2003 0:00,2.083
Canada,1/01/2004 0:00,2.047
Canada,1/01/2005 0:00,2.016
Canada,1/01/2006 0:00,1.968
Canada,1/01/2007 0:00,1.908
Canada,1/01/2008 0:00,1.882
Canada,1/01/2009 0:00,1.844
Canada,1/01/2010 0:00,1.814
Canada,1/01/2011 0:00,1.794
Cape Verde,1/01/1990 0:00,0.002
Cape Verde,1/01/1991 0:00,0.002
Cape Verde,1/01/1992 0:00,0.002
Cape Verde,1/01/1993 0:00,0.002
Cape Verde,1/01/1994 0:00,0.002
Cape Verde,1/01/1995 0:00,0.002
Cape Verde,1/01/1996 0:00,0.002
Cape Verde,1/01/1997 0:00,0.002
Cape Verde,1/01/1998 0:00,0.002
Cape Verde,1/01/1999 0:00,0.002
Cape Verde,1/01/2000 0:00,0.002
Cape Verde,1/01/2001 0:00,0.002
Cape Verde,1/01/2002 0:00,0.002
Cape Verde,1/01/2003 0:00,0.002
Cape Verde,1/01/2004 0:00,0.002
Cape Verde,1/01/2005 0:00,0.002
Cape Verde,1/01/2006 0:00,0.003
Cape Verde,1/01/2007 0:00,0.003
Cape Verde,1/01/2008 0:00,0.003
Cape Verde,1/01/2009 0:00,0.003
Cape Verde,1/01/2010 0:00,0.003
Cape Verde,1/01/2011 0:00,0.003
Central African Republic,1/01/1990 0:00,0.007
Central African Republic,1/01/1991 0:00,0.007
Central African Republic,1/01/1992 0:00,0.006
Central African Republic,1/01/1993 0:00,0.006
Central African Republic,1/01/1994 0:00,0.006
Central African Republic,1/01/1995 0:00,0.006
Central African Republic,1/01/1996 0:00,0.005
Central African Republic,1/01/1997 0:00,0.006
Central African Republic,1/01/1998 0:00,0.006
Central African Republic,1/01/1999 0:00,0.006
Central African Republic,1/01/2000 0:00,0.005
Central African Republic,1/01/2001 0:00,0.005
Central African Republic,1/01/2002 0:00,0.005
Central African Republic,1/01/2003 0:00,0.005
