Country,Date,foreignlongterm,foreignshortterm,foreignoutlookWatch,locallongterm,localoutlookWatch
Greece,20/10/2008,A,F1,stable,A,stable
Greece,5/03/2007,A,F1,positive,A,positive
Greece,16/12/2004,A,F1,stable,A,stable
Greece,28/09/2004,A+,F1,Rating Watch negative,A+,Rating Watch negative
Greece,20/10/2003,A+,F1,stable,A+,stable
Greece,23/10/2002,A,F1,positive,A,positive
Greece,20/06/2001,A,F1,stable,A,stable
Greece,21/09/2000,A-,F1,stable,A-,stable
Greece,27/07/2000,A-,F1,,A-,
Greece,13/03/2000,BBB+,F2,Rating Watch positive,A-,Rating Watch positive
Greece,25/10/1999,BBB+,F2,,A-,
Greece,10/08/1999,BBB,F3,Rating Watch positive,-,Rating Watch positive
Greece,4/06/1997,BBB,F3,,-,
Greece,13/11/1995,BBB-,F3,,-,
Guatemala,22/02/2006,BB+,B,stable,BB+,stable
"Hong Kong SAR, China",26/11/2010,AA+,F1+,stable,AA+,stable
"Hong Kong SAR, China",12/07/2007,AA,F1+,stable,AA+,stable
"Hong Kong SAR, China",24/07/2006,AA-,F1+,positive,AA+,stable
"Hong Kong SAR, China",16/05/2004,AA-,F1+,stable,AA+,stable
"Hong Kong SAR, China",24/04/2003,AA-,F1+,negative,AA+,negative
"Hong Kong SAR, China",25/06/2001,AA-,F1+,stable,AA+,stable
"Hong Kong SAR, China",21/09/2000,A+,F1+,stable,AA+,stable
"Hong Kong SAR, China",14/11/1996,A+,F1+,,AA+,
"Hong Kong SAR, China",24/11/1995,A+,F1+,,-,
"Hong Kong SAR, China",26/10/1995,A+,F1,,-,
"Hong Kong SAR, China",9/08/1995,A+,,,-,
"Hong Kong SAR, China",10/08/1994,AA-,,,-,
Hungary,6/01/2012,BB+,B,negative,BBB-,negative
Hungary,11/11/2011,BBB-,F3,negative,BBB,negative
Hungary,6/06/2011,BBB-,F3,Stable,BBB,Stable
Hungary,23/12/2010,BBB-,F3,negative,BBB,negative
Hungary,2/03/2009,BBB,F3,negative,BBB+,negative
Hungary,9/11/2008,BBB,F3,stable,BBB+,stable
Hungary,15/10/2008,BBB+,F2,negative,A-,negative
Hungary,5/11/2007,BBB+,F2,stable,A-,stable
Hungary,20/09/2006,BBB+,F2,negative,A-,negative
Hungary,6/12/2005,BBB+,F2,stable,A-,stable
Hungary,12/01/2005,A-,F2,negative,A,stable
Hungary,15/07/2003,A-,F2,negative,A+,negative
Hungary,30/11/2000,A-,F2,stable,A+,stable
Hungary,21/09/2000,BBB+,F2,positive,A,positive
Hungary,29/10/1999,BBB+,F2,,A,
Hungary,2/07/1998,BBB,F3,,A,
Hungary,24/06/1997,BBB,F3,,A-,
Hungary,23/05/1997,BBB-,F3,Rating Watch positive,BBB+,Rating Watch positive
Hungary,25/04/1996,BBB-,F3,,BBB+,
Iceland,17/02/2012,BBB-,f3,stable,BBB+,stable
Iceland,17/05/2011,BB+,B,stable,BBB+,stable
Iceland,5/01/2010,BB+,B,negative,BBB+,negative
Iceland,23/12/2009,BBB-,F3,negative,A-,negative
Iceland,8/10/2008,BBB-,F3,Rating Watch negative,A-,Rating Watch negative
Iceland,30/09/2008,A-,F2,Rating Watch negative,AA,Rating Watch negative
Iceland,1/04/2008,A+,F1,negative,AA+,negative
Iceland,15/03/2007,A+,F1,stable,AA+,stable
Iceland,21/02/2006,AA-,F1+,negative,AAA,negative
Iceland,31/03/2003,AA-,F1+,stable,AAA,stable
Iceland,15/02/2002,AA-,F1+,negative,AAA,negative
Iceland,21/09/2000,AA-,F1+,stable,AAA,stable
Iceland,3/02/2000,AA-,F1+,,AAA,
India,18/06/2012,BBB-,F3,negative,BBB-,negative
India,14/06/2010,BBB-,F3,stable,BBB-,stable
India,15/07/2008,BBB-,F3,stable,BBB-,negative
India,1/08/2006,BBB-,F3,stable,BBB-,stable
India,21/01/2004,BB+,B,stable,BB+,stable
India,22/11/2001,BB,B,stable,BB+,stable
India,31/05/2001,BB+,B,negative,BBB-,negative
India,21/09/2000,BB+,B,stable,BBB-,stable
India,8/03/2000,BB+,B,,BBB-,
Indonesia,15/12/2011,BBB-,F3,stable,BBB-,stable
Indonesia,24/02/2011,BB+,B,positive,BB+,positive
Indonesia,25/01/2010,BB+,B,stable,BB+,stable
Indonesia,14/02/2008,BB,B,stable,BB,stable
Indonesia,28/01/2007,BB-,B,positive,BB-,positive
Indonesia,13/02/2006,BB-,B,stable,BB-,stable
Indonesia,26/01/2005,BB-,B,positive,BB-,positive
Indonesia,4/10/2004,B+,B,positive,B+,positive
Indonesia,20/11/2003,B+,B,stable,B+,stable
Indonesia,1/08/2002,B,B,stable,B,stable
Indonesia,30/11/2001,B-,B,stable,B-,stable
Indonesia,14/09/2001,B-,B,positive,B-,positive
Indonesia,21/09/2000,B-,B,stable,B-,negative
Indonesia,19/05/2000,B-,B,,B+,
Indonesia,26/04/1999,B-,B,,BB-,
Indonesia,16/03/1998,B-,B,Rating Watch negative,BB+,Rating Watch negative
Indonesia,21/01/1998,B+,B,Rating Watch negative,BBB-,Rating Watch negative
Indonesia,8/01/1998,BB-,B,,BBB-,
Indonesia,22/12/1997,BB+,B,,BBB+,
Indonesia,17/12/1997,BBB-,F3,Rating Watch negative,A,Rating Watch negative
Indonesia,4/06/1997,BBB-,F3,,A,
"Iran, Islamic Rep.",24/04/2008,-,,,-,
"Iran, Islamic Rep.",24/04/2006,B+,B,stable,B+,stable
"Iran, Islamic Rep.",6/02/2006,BB-,B,negative,BB-,negative
"Iran, Islamic Rep.",14/12/2004,BB-,B,stable,BB-,stable
"Iran, Islamic Rep.",9/12/2003,B+,B,positive,B+,positive
"Iran, Islamic Rep.",10/05/2002,B+,B,stable,B+,stable
Ireland,27/01/2012,BBB+,F2,negative,BBB+,negative
Ireland,16/12/2011,BBB+,F2,Rating Watch negative,BBB+,Rating Watch negative
Ireland,14/04/2011,BBB+,F2,negative,BBB+,negative
Ireland,1/04/2011,BBB+,F2,rating watch negative,BBB+,rating watch negative
Ireland,9/12/2010,BBB+,F2,stable,BBB+,stable
Ireland,6/10/2010,A+,F1,negative,A+,negative
Ireland,4/11/2009,AA-,F1+,stable,AA-,stable
Ireland,8/04/2009,AA+,F1+,negative,AA+,negative
Ireland,6/03/2009,AAA,F1+,Rating Watch negative,AAA,Rating Watch negative
Ireland,21/09/2000,AAA,F1+,stable,AAA,stable
Ireland,16/12/1998,AAA,F1+,,AAA,
Ireland,14/07/1998,AA+,F1+,,AA+,
Ireland,26/10/1995,AA+,F1+,,AAA,
Ireland,10/10/1994,AA+,,,-,
Israel,11/02/2008,A,F1,stable,A+,stable
