Country,Year,RealInterestRate
Brazil,1/01/2005 0:00,44.55430712
Brazil,1/01/2006 0:00,41.34535076
Brazil,1/01/2007 0:00,35.07150095
Brazil,1/01/2008 0:00,35.25818785
Brazil,1/01/2009 0:00,34.74159794
Brazil,1/01/2010 0:00,28.9471112
Brazil,1/01/2011 0:00,32.84214665
Brazil,1/01/2012 0:00,29.06352241
Brazil,1/01/2013 0:00,19.60720827
Brazil,1/01/2014 0:00,23.49134261
Brunei,1/01/1998 0:00,20.54134773
Brunei,1/01/1999 0:00,-5.46084756
Brunei,1/01/2000 0:00,-18.22701237
Brunei,1/01/2001 0:00,11.74888397
Brunei,1/01/2002 0:00,5.106681071
Brunei,1/01/2003 0:00,-0.569825769
Brunei,1/01/2004 0:00,-8.962385242
Brunei,1/01/2005 0:00,-11.17010239
Brunei,1/01/2006 0:00,-4.132498999
Brunei,1/01/2007 0:00,4.331025065
Brunei,1/01/2008 0:00,-6.382603226
Brunei,1/01/2009 0:00,35.41511735
Brunei,1/01/2010 0:00,0.181618172
Brunei,1/01/2011 0:00,-12.33982262
Brunei,1/01/2012 0:00,5.551287132
Brunei,1/01/2013 0:00,8.934612598
Brunei,1/01/2014 0:00,-4.166095904
Bulgaria,1/01/1994 0:00,17.26117466
Bulgaria,1/01/1995 0:00,10.46015636
Bulgaria,1/01/1996 0:00,93.93744956
Bulgaria,1/01/1997 0:00,-70.43220348
Bulgaria,1/01/1998 0:00,-13.67696078
Bulgaria,1/01/1999 0:00,11.26303843
Bulgaria,1/01/2000 0:00,3.866188313
Bulgaria,1/01/2001 0:00,4.712514839
Bulgaria,1/01/2002 0:00,5.221540643
Bulgaria,1/01/2003 0:00,6.134305693
Bulgaria,1/01/2004 0:00,3.066333439
Bulgaria,1/01/2005 0:00,2.025797749
Bulgaria,1/01/2006 0:00,2.014699731
Bulgaria,1/01/2007 0:00,-0.961889497
Bulgaria,1/01/2008 0:00,2.501279984
Bulgaria,1/01/2009 0:00,7.004384162
Bulgaria,1/01/2010 0:00,9.793704475
Bulgaria,1/01/2011 0:00,3.510924127
Bulgaria,1/01/2012 0:00,8.030344888
Bulgaria,1/01/2013 0:00,9.870268672
Bulgaria,1/01/2014 0:00,7.797690526
Burundi,1/01/1994 0:00,7.090833433
Burundi,1/01/1995 0:00,-0.727268461
Burundi,1/01/1999 0:00,0.245048218
Burundi,1/01/2000 0:00,-16.67919754
Burundi,1/01/2001 0:00,2.732903689
Burundi,1/01/2002 0:00,18.25203631
Burundi,1/01/2003 0:00,5.614402303
Burundi,1/01/2004 0:00,4.514521181
Burundi,1/01/2005 0:00,-0.34657925
Burundi,1/01/2006 0:00,13.83378319
Burundi,1/01/2007 0:00,9.299610523
Burundi,1/01/2008 0:00,-6.024722239
Burundi,1/01/2009 0:00,5.384409216
Burundi,1/01/2010 0:00,0.103918608
Burundi,1/01/2011 0:00,-0.929038495
Burundi,1/01/2012 0:00,-0.950038464
Burundi,1/01/2013 0:00,1.753323345
Burundi,1/01/2014 0:00,6.800276704
Cameroon,1/01/1994 0:00,7.532691163
Cameroon,1/01/1995 0:00,6.800900577
Cameroon,1/01/1996 0:00,18.70193621
Cameroon,1/01/1997 0:00,17.84374475
Cameroon,1/01/1998 0:00,17.52864962
Cameroon,1/01/1999 0:00,19.28828157
Cameroon,1/01/2000 0:00,18.6006826
Cameroon,1/01/2001 0:00,18.09398899
Cameroon,1/01/2002 0:00,14.28807418
Cameroon,1/01/2003 0:00,17.57956467
Cameroon,1/01/2004 0:00,16.24642239
Cameroon,1/01/2005 0:00,14.65064554
Cameroon,1/01/2006 0:00,10.96167597
Cameroon,1/01/2007 0:00,13.8353726
Canada,1/01/1994 0:00,5.350676117
Canada,1/01/1995 0:00,6.26709997
Canada,1/01/1996 0:00,4.231710679
Canada,1/01/1997 0:00,3.774186778
Canada,1/01/1998 0:00,6.825701422
Canada,1/01/1999 0:00,4.492834346
Canada,1/01/2000 0:00,2.875615829
Canada,1/01/2001 0:00,4.1225269
Canada,1/01/2002 0:00,2.944762281
Canada,1/01/2003 0:00,1.308759668
Canada,1/01/2004 0:00,0.697764802
Canada,1/01/2005 0:00,1.170244697
Canada,1/01/2006 0:00,3.021353641
Canada,1/01/2007 0:00,2.775829449
Canada,1/01/2008 0:00,0.805387648
Canada,1/01/2009 0:00,4.63957217
Canada,1/01/2010 0:00,-0.041544148
Canada,1/01/2011 0:00,-0.377307726
Canada,1/01/2012 0:00,1.471276275
Canada,1/01/2013 0:00,1.594464125
Canada,1/01/2014 0:00,1.181228024
Cape Verde,1/01/1994 0:00,56.24807837
Cape Verde,1/01/1995 0:00,13.75974877
Cape Verde,1/01/1996 0:00,12.61503117
Cape Verde,1/01/1997 0:00,12.99971023
Cape Verde,1/01/1998 0:00,12.89347801
Cape Verde,1/01/1999 0:00,4.106653466
Cape Verde,1/01/2000 0:00,21.541268
Cape Verde,1/01/2001 0:00,7.31663459
Cape Verde,1/01/2002 0:00,13.58588744
Cape Verde,1/01/2003 0:00,7.444228971
Cape Verde,1/01/2004 0:00,20.30859851
Cape Verde,1/01/2005 0:00,14.34178057
Cape Verde,1/01/2006 0:00,4.984103114
Cape Verde,1/01/2007 0:00,1.654809797
Cape Verde,1/01/2008 0:00,6.222437435
Cape Verde,1/01/2009 0:00,8.614711628
Cape Verde,1/01/2010 0:00,10.48200376
Cape Verde,1/01/2011 0:00,6.948319046
Cape Verde,1/01/2012 0:00,9.295956569
Cape Verde,1/01/2013 0:00,10.00084729
Cape Verde,1/01/2014 0:00,11.89031459
Central African Republic,1/01/1994 0:00,-5.556121912
Central African Republic,1/01/1995 0:00,5.552401946
Central African Republic,1/01/1996 0:00,26.48141065
Central African Republic,1/01/1997 0:00,21.00375526
Central African Republic,1/01/1998 0:00,22.50719551
Central African Republic,1/01/1999 0:00,17.21224623
Central African Republic,1/01/2000 0:00,12.43553543
Central African Republic,1/01/2001 0:00,20.15493073
Central African Republic,1/01/2002 0:00,20.86675475
Central African Republic,1/01/2003 0:00,16.44384273
Central African Republic,1/01/2004 0:00,23.48247734
Central African Republic,1/01/2005 0:00,11.85409558
Central African Republic,1/01/2006 0:00,11.47455345
Central African Republic,1/01/2007 0:00,12.88706702
Chad,1/01/1994 0:00,-18.14411533
Chad,1/01/1995 0:00,6.585194153
Chad,1/01/1996 0:00,9.457824491
Chad,1/01/1997 0:00,17.5532141
Chad,1/01/1998 0:00,14.28634719
Chad,1/01/1999 0:00,31.9958708
Chad,1/01/2000 0:00,15.87066778
Chad,1/01/2001 0:00,6.036164849
Chad,1/01/2002 0:00,15.79091835
Chad,1/01/2003 0:00,17.90684806
Chad,1/01/2004 0:00,7.532509706
Chad,1/01/2005 0:00,-8.153234995
Chad,1/01/2006 0:00,4.863329759
Chad,1/01/2007 0:00,11.32414976
Chile,1/01/1994 0:00,5.810964894
Chile,1/01/1995 0:00,7.008549905
Chile,1/01/1996 0:00,14.25168705
Chile,1/01/1997 0:00,10.93339795
Chile,1/01/1998 0:00,17.89868686
Chile,1/01/1999 0:00,9.949546892
Chile,1/01/2000 0:00,4.139683923
Chile,1/01/2001 0:00,7.750283732
Chile,1/01/2002 0:00,3.396952047
Chile,1/01/2003 0:00,0.300365988
Chile,1/01/2004 0:00,-2.187111298
Chile,1/01/2005 0:00,-0.81304306
Chile,1/01/2006 0:00,-4.263989621
Chile,1/01/2007 0:00,3.650675169
Chile,1/01/2008 0:00,12.72853682
Chile,1/01/2009 0:00,3.282272751
Chile,1/01/2010 0:00,-3.744449273
Chile,1/01/2011 0:00,5.5802064
Chile,1/01/2012 0:00,9.129627269
Chile,1/01/2013 0:00,7.229812053
Chile,1/01/2014 0:00,2.545313678
China,1/01/1994 0:00,-8.004027616
China,1/01/1995 0:00,-1.400126337
China,1/01/1996 0:00,3.350314069
China,1/01/1997 0:00,6.925788378
China,1/01/1998 0:00,7.372369382
China,1/01/1999 0:00,7.214486385
China,1/01/2000 0:00,3.742655757
China,1/01/2001 0:00,3.724474961
China,1/01/2002 0:00,4.694670627
China,1/01/2003 0:00,2.658652627
China,1/01/2004 0:00,-1.245650119
China,1/01/2005 0:00,1.640412667
China,1/01/2006 0:00,2.134746858
China,1/01/2007 0:00,-0.335658386
China,1/01/2008 0:00,-2.316757424
China,1/01/2009 0:00,5.422714247
China,1/01/2010 0:00,-1.054405574
China,1/01/2011 0:00,-1.46035162
China,1/01/2012 0:00,3.523559633
China,1/01/2013 0:00,3.68272685
China,1/01/2014 0:00,4.706901329
Colombia,1/01/1994 0:00,-3.365547854
Colombia,1/01/1995 0:00,20.08106901
Colombia,1/01/1996 0:00,21.49779219
Colombia,1/01/1997 0:00,14.87875352
Colombia,1/01/1998 0:00,23.93081159
Colombia,1/01/1999 0:00,11.67250781
Colombia,1/01/2000 0:00,-9.847107033
Colombia,1/01/2001 0:00,13.33248084
Colombia,1/01/2002 0:00,9.7752049
Colombia,1/01/2003 0:00,7.823797978
Colombia,1/01/2004 0:00,7.270509662
Colombia,1/01/2005 0:00,8.529274188
Colombia,1/01/2006 0:00,6.730149746
Colombia,1/01/2007 0:00,9.845884103
Colombia,1/01/2008 0:00,8.944131906
Colombia,1/01/2009 0:00,9.283784921
Colombia,1/01/2010 0:00,5.32007517
Colombia,1/01/2011 0:00,4.211476049
Colombia,1/01/2012 0:00,9.317552811
Colombia,1/01/2013 0:00,8.918533695
Colombia,1/01/2014 0:00,8.879082322
Comoros,1/01/1999 0:00,7.423579109
Comoros,1/01/2000 0:00,17.2284743
Comoros,1/01/2001 0:00,3.102085691
Comoros,1/01/2002 0:00,7.515877628
Comoros,1/01/2003 0:00,6.394840599
Comoros,1/01/2004 0:00,7.362021116
Comoros,1/01/2005 0:00,10.65043234
Comoros,1/01/2006 0:00,7.166183786
Comoros,1/01/2007 0:00,6.717118104
Comoros,1/01/2008 0:00,6.111356987
Comoros,1/01/2009 0:00,7.396082331
