country Code,Year,DebtGDP
NOR,2002,38.67231
NOR,2003,48.00573
NOR,2004,49.88387
NOR,2005,46.91439
NOR,2006,57.81303
NOR,2007,55.56018
NOR,2008,54.22602
NOR,2009,48.06507
NOR,2010,48.41938
NOR,2011,33.81025
NOR,2012,34.52206
NOR,2013,35.11429
NOR,2014,32.484
NOR,2015,37.82062
POL,2003,54.80678
POL,2004,53.77805
POL,2005,54.44743
POL,2006,54.58263
POL,2007,50.9126
POL,2008,53.96016
POL,2009,57.14154
POL,2010,60.6615
POL,2011,61.14659
POL,2012,60.74579
POL,2013,62.58955
POL,2014,66.15215
POL,2015,66.6273
PRT,1995,67.48737
PRT,1996,68.03526
PRT,1997,66.03267
PRT,1998,65.31093
PRT,1999,62.45652
PRT,2000,62.01825
PRT,2001,63.45905
PRT,2002,66.81203
PRT,2003,70.61915
PRT,2004,76.65156
PRT,2005,79.97653
PRT,2006,79.40868
PRT,2007,78.10067
PRT,2008,82.76154
PRT,2009,96.11208
PRT,2010,104.0708
PRT,2011,107.8454
PRT,2012,136.8619
PRT,2013,140.6734
PRT,2014,149.9428
SVK,1995,37.62357
SVK,1996,36.98852
SVK,1997,38.1712
SVK,1998,40.36709
SVK,1999,52.64595
SVK,2000,57.8646
SVK,2001,56.57265
SVK,2002,49.35629
SVK,2003,47.50673
SVK,2004,45.11853
SVK,2005,38.14189
SVK,2006,35.9645
SVK,2007,34.50111
SVK,2008,33.47353
SVK,2009,42.03369
SVK,2010,46.88969
SVK,2011,49.3638
SVK,2012,57.73302
SVK,2013,60.68576
SVK,2014,60.11614
ESP,1995,67.52863
ESP,1996,73.85633
ESP,1997,73.04521
ESP,1998,73.46825
ESP,1999,67.94803
ESP,2000,65.16534
ESP,2001,60.56855
ESP,2002,59.25278
ESP,2003,54.41895
ESP,2004,52.51329
ESP,2005,49.98066
ESP,2006,45.6857
ESP,2007,41.72965
ESP,2008,47.13713
ESP,2009,61.73865
ESP,2010,66.49888
ESP,2011,77.517
ESP,2012,92.00477
ESP,2013,103.7964
ESP,2014,117.7588
SWE,1995,75.95115
SWE,1996,78.92843
SWE,1997,82.06572
SWE,1998,82.61308
SWE,1999,72.93983
SWE,2000,62.7314
SWE,2001,64.02541
SWE,2002,64.22446
SWE,2003,63.03952
SWE,2004,62.48072
SWE,2005,63.58656
SWE,2006,57.59511
SWE,2007,51.90717
SWE,2008,50.68481
SWE,2009,54.54791
SWE,2010,51.92642
SWE,2011,52.7993
SWE,2012,53.39025
SWE,2013,55.93774
SWE,2014,62.48496
CHE,1999,52.51112
CHE,2000,52.67896
CHE,2001,52.55098
CHE,2002,60.00113
CHE,2003,58.41735
CHE,2004,59.48598
CHE,2005,56.93435
CHE,2006,50.65993
CHE,2007,50.48123
CHE,2008,48.58729
CHE,2009,46.40474
CHE,2010,44.73957
CHE,2011,44.95016
CHE,2012,45.73542
CHE,2013,45.46998
TUR,2009,54.29916
TUR,2010,52.50892
TUR,2011,47.78239
TUR,2012,46.38562
TUR,2013,39.7495
TUR,2014,38.97874
GBR,1995,55.40387
GBR,1996,54.73741
GBR,1997,54.4193
GBR,1998,59.76438
GBR,1999,55.11013
GBR,2000,55.65773
GBR,2001,51.29281
GBR,2002,53.41358
GBR,2003,52.17464
GBR,2004,54.68466
GBR,2005,56.1401
GBR,2006,55.30655
GBR,2007,55.61868
GBR,2008,68.29416
GBR,2009,81.69852
GBR,2010,92.81809
GBR,2011,106.7283
GBR,2012,111.0081
GBR,2013,106.2792
GBR,2014,117.0801
GBR,2015,112.7733
USA,1995,83.09045
USA,1996,80.55987
USA,1997,75.51575
USA,1998,70.95224
USA,1999,65.52213
USA,2000,61.53986
USA,2001,63.9259
USA,2002,70.52969
USA,2003,71.37617
USA,2004,79.23384
USA,2005,78.45848
USA,2006,76.23366
USA,2007,76.51228
USA,2008,92.33403
USA,2009,105.6533
USA,2010,116.0184
USA,2011,121.6141
USA,2012,124.6988
USA,2013,123.9024
USA,2014,123.2975
USA,2015,125.3343
CHL,2005,17.38978
CHL,2006,14.09986
CHL,2007,12.1781
CHL,2008,12.43058
CHL,2009,13.44414
CHL,2010,15.56835
CHL,2011,18.3339
CHL,2012,18.80587
CHL,2013,19.4213
CHL,2014,23.02341
EST,1995,13.27956
EST,1996,12.21885
EST,1997,11.25085
EST,1998,10.03521
EST,1999,10.80558
EST,2000,6.798179
EST,2001,6.663924
EST,2002,7.619143
EST,2003,8.390286
EST,2004,8.627208
EST,2005,8.157304
EST,2006,8.002686
EST,2007,7.244682
EST,2008,8.399088
EST,2009,12.62136
EST,2010,11.92719
EST,2011,9.360659
EST,2012,12.93233
EST,2013,13.35325
EST,2014,13.64997
ISR,2001,91.15319
ISR,2002,94.87955
ISR,2003,100.1907
ISR,2004,97.96294
ISR,2005,95.12207
ISR,2006,84.85542
ISR,2007,80.89097
ISR,2008,80.67485
ISR,2009,83.7255
ISR,2010,79.93964
ISR,2011,78.27502
ISR,2012,78.52347
ISR,2013,76.68334
ISR,2014,79.09801
SVN,2001,32.95066
SVN,2002,34.03537
SVN,2003,33.45865
SVN,2004,34.27205
SVN,2005,33.37371
SVN,2006,33.26849
SVN,2007,29.11876
SVN,2008,28.34694
SVN,2009,42.49548
SVN,2010,46.80514
SVN,2011,50.35464
SVN,2012,60.59193
SVN,2013,79.54056
SVN,2014,97.25971
ISL,2003,66.10314
ISL,2004,59.604
ISL,2005,49.68002
ISL,2006,54.90543
ISL,2007,49.84937
ISL,2008,95.72009
ISL,2009,109.3732
ISL,2010,114.6088
ISL,2011,122.0639
ISL,2012,120.1987
ISL,2013,112.1551
